Word,Occurrence,% Frequency
the,34545,6.141322415426817
and,22227,3.951459641849526
to,16675,2.964439174330357
of,14889,2.6469286276824397
a,10546,1.8748411113935797
he,9869,1.7544857698030758
in,8979,1.596263828864304
his,7984,1.4193752544439922
that,7892,1.4030197279649281
was,7359,1.308264340863394
with,5663,1.006753765771083
had,5365,0.9537760821758539
it,5219,0.9278205727634261
her,4725,0.8399985066693215
not,4675,0.8311096335828737
him,4637,0.8243540900371733
at,4532,0.8056874565556328
i,4153,0.7383097985603582
but,4050,0.7199987200022756
as,4026,0.7157320609207806
on,4002,0.7114654018392856
you,3600,0.639998862224245
for,3529,0.6273766624414889
she,3423,0.6085322514982195
is,3321,0.590398950401866
said,2842,0.5052435462336956
all,2794,0.4967102280707057
from,2694,0.47893248189781
were,2451,0.4357325586976734
be,2440,0.43377700661865487
by,2415,0.4293325700754309
what,2331,0.4143992632901986
they,2178,0.3871993116456682
who,2149,0.38204376525552847
this,2075,0.3688882330875856
one,2072,0.3683549007023988
which,2057,0.3656882387764644
have,1975,0.35111048691468993
so,1902,0.33813273220847606
prince,1891,0.3361771801294575
pierre,1796,0.3192883212652066
an,1629,0.2895994851564708
up,1577,0.28035505714656506
them,1529,0.27182173898357515
or,1524,0.27093285167493036
when,1496,0.2659550827465195
did,1485,0.26399953066750104
been,1476,0.2623995335119404
there,1476,0.2623995335119404
their,1440,0.25599954488969795
no,1401,0.24906622388226868
would,1366,0.24284401272175515
now,1333,0.2369773564846996
only,1298,0.2307551453241861
if,1294,0.23004403547727026
me,1275,0.22666626370442008
are,1270,0.22577737639577528
out,1239,0.22026627508217764
my,1226,0.21795516807970117
could,1115,0.19822186982778695
natasha,1098,0.1951996529783947
man,1084,0.1927107685141893
will,1067,0.18968855166479703
more,1056,0.18773299958577852
andrew,1047,0.1861330024302179
do,1041,0.18506633765984418
himself,1020,0.18133301096353607
about,1011,0.17973301380797543
into,1004,0.17848857157587275
how,999,0.17759968426722797
we,966,0.17173302803017237
its,948,0.16853303371905118
then,941,0.16728859148694847
time,929,0.16515526194620098
princess,916,0.16284415494372456
face,893,0.15875527332395853
french,881,0.15662194378321107
went,862,0.15324417201036086
know,846,0.15039973262269754
some,846,0.15039973262269754
after,841,0.14951084531405276
old,833,0.14808862562022113
before,831,0.1477330706967632
eyes,827,0.1470219608498474
your,811,0.14417752146218407
very,803,0.1427553017683524
well,803,0.1427553017683524
room,771,0.1370664229930258
men,771,0.1370664229930258
thought,767,0.13635531314610996
go,755,0.13422198360536247
like,751,0.13351087375844667
see,731,0.12995532452386752
rostov,719,0.12782199498312002
moscow,718,0.12764421752139107
began,718,0.12764421752139107
again,709,0.12604422036583046
has,706,0.12551088798064358
down,700,0.12444422321026985
come,683,0.12142200636087758
came,683,0.12142200636087758
still,676,0.12017756412877488
asked,668,0.11875534443494323
without,667,0.11857756697321425
same,664,0.11804423458802739
those,661,0.11751090220284052
army,659,0.11715534727938261
count,657,0.11679979235592469
looked,651,0.11573312758555096
say,640,0.11377757550653242
nicholas,633,0.11253313327442974
first,633,0.11253313327442974
felt,631,0.11217757835097182
our,622,0.11057758119541121
where,617,0.10968869388676641
mary,615,0.1093331389633085
away,614,0.10915536150157956
left,611,0.10862202911639268
life,611,0.10862202911639268
another,607,0.10791091926947685
something,601,0.10684425449910312
over,599,0.1064886995756452
two,594,0.10559981226700042
such,591,0.10506647988181356
these,590,0.10488870242008458
seemed,583,0.10364426018798188
other,570,0.10133315318550545
just,568,0.10097759826204752
head,567,0.10079982080031859
yes,561,0.09973315602994483
little,557,0.09902204618302901
day,551,0.09795538141265527
long,545,0.09688871664228153
am,545,0.09688871664228153
why,542,0.09635538425709465
hand,539,0.09582205187190779
